統計期,臺鐵旅客人數,臺鐵延人公里,臺鐵客運收入,高鐵旅客人數(千人次),高鐵延人公里,臺北捷運旅客人數,臺北捷運延人公里,臺北捷運客運收入,高雄捷運旅客人數,高雄捷運延人公里,高雄捷運客運收入,桃園機場捷運旅客人數,桃園機場捷運延人公里,桃園機場捷運客運收入,新北捷運旅客人數,新北捷運延人公里,新北捷運客運收入,臺中捷運旅客人數,臺中捷運延人公里,臺中捷運客運收入
97年1月,13990.0,736847.0,1203727.0,1958.0,427088.0,36826.0,288442.0,802692.0,,,,,,,,,,,,
97年2月,14573.0,696068.0,1144248.0,2095.0,464631.0,33224.0,257669.0,730614.0,,,,,,,,,,,,
97年3月,15463.0,773630.0,1249803.0,2312.0,499869.0,38433.0,305501.0,841217.0,,,,,,,,,,,,
97年4月,14721.0,713715.0,1119592.0,2546.0,549951.0,36472.0,291405.0,799159.0,2179.0,18656.0,38005.0,,,,,,,,,
97年5月,14967.0,713899.0,1192248.0,2603.0,560909.0,38096.0,301612.0,832744.0,2961.0,24735.0,76875.0,,,,,,,,,
97年6月,14021.0,688505.0,1144119.0,2538.0,544918.0,36552.0,286854.0,757701.0,2794.0,22437.0,60887.0,,,,,,,,,
97年7月,14923.0,770017.0,1245776.0,2812.0,605924.0,38641.0,301140.0,801291.0,3331.0,24376.0,89700.0,,,,,,,,,
97年8月,16063.0,822004.0,1327886.0,2973.0,630249.0,39807.0,311615.0,837478.0,3368.0,24086.0,97675.0,,,,,,,,,
97年9月,14151.0,667290.0,1073125.0,2489.0,529601.0,34945.0,274712.0,757753.0,3199.0,22955.0,83451.0,,,,,,,,,
97年10月,15721.0,738984.0,1185453.0,2856.0,606826.0,39569.0,315564.0,865029.0,4372.0,32795.0,96740.0,,,,,,,,,
97年11月,14881.0,686651.0,1103316.0,2742.0,583941.0,37510.0,297267.0,817976.0,3542.0,25433.0,94104.0,,,,,,,,,
97年12月,15186.0,710172.0,1131472.0,2658.0,562213.0,39950.0,317047.0,869983.0,3728.0,26003.0,102086.0,,,,,,,,,
98年1月,14454.0,733381.0,1207995.0,2787.0,610598.0,34771.0,276891.0,767286.0,4368.0,30108.0,122825.0,,,,,,,,,
98年2月,15039.0,672907.0,1075954.0,2397.0,508783.0,36237.0,286882.0,788166.0,3574.0,24526.0,97527.0,,,,,,,,,
98年3月,15288.0,718412.0,1150910.0,2648.0,562792.0,38808.0,307847.0,845255.0,3289.0,23309.0,83481.0,,,,,,,,,
98年4月,14724.0,687126.0,1099801.0,2583.0,548603.0,37410.0,297590.0,814051.0,3234.0,22650.0,78424.0,,,,,,,,,
98年5月,15499.0,740022.0,1193324.0,2752.0,589171.0,37754.0,303855.0,826799.0,3701.0,25370.0,89445.0,,,,,,,,,
98年6月,13835.0,661716.0,1067938.0,2436.0,512670.0,36552.0,287722.0,792619.0,3205.0,22383.0,82257.0,,,,,,,,,
98年7月,15640.0,794789.0,1269993.0,2957.0,631752.0,41123.0,332777.0,861923.0,4441.0,29788.0,110192.0,,,,,,,,,
98年8月,14468.0,671778.0,1062173.0,2716.0,584485.0,37896.0,304545.0,796869.0,3616.0,23857.0,89034.0,,,,,,,,,
98年9月,14546.0,649752.0,1039691.0,2441.0,510247.0,38230.0,311332.0,800230.0,3099.0,21151.0,78613.0,,,,,,,,,
98年10月,15118.0,675258.0,1081251.0,2839.0,594854.0,40426.0,331549.0,848866.0,3447.0,23782.0,84131.0,,,,,,,,,
98年11月,15079.0,669968.0,1073943.0,2815.0,590607.0,39549.0,324518.0,827818.0,3413.0,23500.0,81122.0,,,,,,,,,
98年12月,15679.0,711746.0,1135705.0,2978.0,619397.0,43716.0,355485.0,916843.0,3950.0,26806.0,88370.0,,,,,,,,,
99年1月,15244.0,746813.0,1215406.0,2871.0,599486.0,40916.0,334162.0,874983.0,3727.0,25096.0,91779.0,,,,,,,,,
99年2月,14490.0,677762.0,1106179.0,3047.0,657354.0,34838.0,282318.0,743911.0,4343.0,28625.0,106797.0,,,,,,,,,
99年3月,15810.0,753045.0,1218205.0,2938.0,602432.0,42790.0,353640.0,914384.0,3551.0,24735.0,82907.0,,,,,,,,,
99年4月,15521.0,724909.0,1173308.0,3090.0,634098.0,40252.0,331253.0,857919.0,3682.0,25483.0,88017.0,,,,,,,,,
99年5月,15866.0,729758.0,1180286.0,3212.0,641117.0,41474.0,340355.0,882413.0,3654.0,25350.0,87756.0,,,,,,,,,
99年6月,14948.0,718224.0,1168018.0,2983.0,605286.0,39480.0,322350.0,839391.0,3467.0,22964.0,83291.0,,,,,,,,,
99年7月,16350.0,838700.0,1364793.0,3161.0,641533.0,42491.0,343448.0,902619.0,4206.0,28091.0,100859.0,,,,,,,,,
99年8月,16923.0,833523.0,1350030.0,3188.0,644415.0,42042.0,341064.0,895418.0,4207.0,28062.0,103280.0,,,,,,,,,
99年9月,15560.0,710667.0,1159655.0,2866.0,570657.0,39761.0,325940.0,846177.0,3412.0,23657.0,83672.0,,,,,,,,,
99年10月,16317.0,754377.0,1218397.0,3114.0,618195.0,43728.0,357231.0,928609.0,3871.0,27130.0,93215.0,,,,,,,,,
99年11月,16057.0,744501.0,1231011.0,3115.0,616960.0,47278.0,381910.0,955556.0,3702.0,26168.0,90691.0,,,,,,,,,
99年12月,16676.0,766130.0,1240896.0,3353.0,659487.0,50417.0,409518.0,1069764.0,4188.0,29341.0,105324.0,,,,,,,,,
100年1月,15431.0,762104.0,1263768.0,3155.0,631384.0,46769.0,373189.0,988277.0,4005.0,27304.0,101098.0,,,,,,,,,
100年2月,17779.0,816052.0,1292213.0,3440.0,709820.0,42218.0,346623.0,903346.0,4623.0,31241.0,120157.0,,,,,,,,,
